ID,ACTION,LOCATION,ITEM SIZE,PROGRAM PROFILE,PROGRAM TYPE,SEC / ACTION,POINTS / ACTION,ACTIONS / HOUR,ACTIVE AT,INACTIVE AT
0d5ae6c4-5603-11f0-9bf1-42010a400006,ITEM PRESORT FINISHED,MESA,,,,8,0.22,450,2025-07-01T07:00:00.000Z,
0d5abfc7-5603-11f0-9bf1-42010a400006,SCANNED FOR PICK,MESA,MEDIUM,,,45,1.25,80,2025-07-01T07:00:00.000Z,
7a433a5a-6e39-11f0-9bf1-42010a400006,LOCATED LOAD OUT,MESA,,,,56.25,1.56,64,2025-08-01T07:00:00.000Z,
7a4339b9-6e39-11f0-9bf1-42010a400006,APPOINTMENT LOADED OUT,MESA,,,,56.25,1.56,64,2025-08-01T07:00:00.000Z,
40186477-843b-11f0-b3ff-42010a400009,SCANNED FOR PICK,MESA,SMALL,,,48,1.33,75,2025-09-01T07:00:00.000Z,
40185ac4-843b-11f0-b3ff-42010a400009,ITEM PUTAWAY,MESA,SMALL,,,11.61,0.32,310,2025-09-01T07:00:00.000Z,
6c72c8a2-a097-11f0-b3ff-42010a400009,SCANNED FOR PICK,MESA,X-LARGE,,,180,5,20,2025-10-06T07:00:00.000Z,
6c72df84-a097-11f0-b3ff-42010a400009,SCANNED FOR SINGLES PICK,MESA,X-LARGE,,,180,5,20,2025-10-06T07:00:00.000Z,
6c7169ed-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,VARIETY PALLET,,900,25,4,2025-10-06T07:00:00.000Z,
6c72323f-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,VARIETY BOX,,60,1.67,60,2025-10-06T07:00:00.000Z,
6c721bff-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,SALVAGE,,60,1.67,60,2025-10-06T07:00:00.000Z,
6c722719-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,RC XL,,60,1.67,60,2025-10-06T07:00:00.000Z,
6c718461-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,FC MIX,,60,1.67,60,2025-10-06T07:00:00.000Z,
6c717b46-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,RC XL,,240,6.67,15,2025-10-06T07:00:00.000Z,
6c716e45-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,SALVAGE,,240,6.67,15,2025-10-06T07:00:00.000Z,
6c720bbd-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,VARIETY BOX,,240,6.67,15,2025-10-06T07:00:00.000Z,
6c7214dd-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,VARIETY PALLET,,225,6.25,16,2025-10-06T07:00:00.000Z,
6c717078-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,FC SORTABLE,,40,1.11,90,2025-10-06T07:00:00.000Z,
6c723be7-a097-11f0-b3ff-42010a400009,ITEM PUTAWAY,MESA,X-LARGE,,,144,4,25,2025-10-06T07:00:00.000Z,
6c7229cb-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,FC XL,,30,0.83,120,2025-10-06T07:00:00.000Z,
6c722c57-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,RC MIX,,30,0.83,120,2025-10-06T07:00:00.000Z,
6c717d94-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,FC XL,,120,3.33,30,2025-10-06T07:00:00.000Z,
6c718082-a097-11f0-b3ff-42010a400009,ITEM PROCESSING FINISHED,MESA,,RC MIX,,120,3.33,30,2025-10-06T07:00:00.000Z,
6c72cb23-a097-11f0-b3ff-42010a400009,APPOINTMENT CONSOLIDATED,MESA,,,,120,3.33,30,2025-10-06T07:00:00.000Z,
6c723fa0-a097-11f0-b3ff-42010a400009,RETURN ITEM RECEIVED,MESA,,,,20,0.56,180,2025-10-06T07:00:00.000Z,
6c72c0fa-a097-11f0-b3ff-42010a400009,RETURN ITEM REJECTED,MESA,,,,20,0.56,180,2025-10-06T07:00:00.000Z,
6c722fad-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,FC MIX,,15,0.42,240,2025-10-06T07:00:00.000Z,
6c721eec-a097-11f0-b3ff-42010a400009,MULTI-ITEM PROCESS FINISHED,MESA,,FC SORTABLE,,10,0.28,360,2025-10-06T07:00:00.000Z,
6c72e20d-a097-11f0-b3ff-42010a400009,CONSOLIDATED SINGLES PICK,MESA,,,,24,0.67,150,2025-10-06T07:00:00.000Z,
6c72d825-a097-11f0-b3ff-42010a400009,SCANNED FOR SINGLES PICK,MESA,MEDIUM,,,32.73,0.91,110,2025-10-06T07:00:00.000Z,
6c72cdae-a097-11f0-b3ff-42010a400009,APPOINTMENT CREATED,MESA,,,,13.33,0.37,270,2025-10-06T07:00:00.000Z,
6c72db52-a097-11f0-b3ff-42010a400009,SCANNED FOR SINGLES PICK,MESA,LARGE,,,65.45,1.82,55,2025-10-06T07:00:00.000Z,
6c72c5e4-a097-11f0-b3ff-42010a400009,SCANNED FOR PICK,MESA,LARGE,,,65.45,1.82,55,2025-10-06T07:00:00.000Z,
6c72d161-a097-11f0-b3ff-42010a400009,CHECKED IN,MESA,,,,65.45,1.82,55,2025-10-06T07:00:00.000Z,
6c72d3fe-a097-11f0-b3ff-42010a400009,SCANNED FOR SINGLES PICK,MESA,SMALL,,,34.29,0.95,105,2025-10-06T07:00:00.000Z,
8c80f43f-be9b-11f0-95e2-42010a40000b,PICKED MULTIPICK ITEM,MESA,X-LARGE,,,180,5,20,2025-11-11T08:00:00.000Z,
8c80e7d5-be9b-11f0-95e2-42010a40000b,PICKED MULTIPICK ITEM,MESA,MEDIUM,,,45,1.25,80,2025-11-11T08:00:00.000Z,
8c80e991-be9b-11f0-95e2-42010a40000b,PICKED MULTIPICK ITEM,MESA,SMALL,,,48,1.33,75,2025-11-11T08:00:00.000Z,
8c80f2e5-be9b-11f0-95e2-42010a40000b,PICKED MULTIPICK ITEM,MESA,LARGE,,,65.45,1.82,55,2025-11-11T08:00:00.000Z,
373efa20-c4b6-11f0-95e2-42010a40000b,CONTAINER TO RACK PUTAWAY,MESA,,,,34.29,0.95,105,2025-10-06T07:00:00.000Z,
85ef0b82-f0a5-11f0-95e2-42010a40000b,ITEM PROCESSING FINISHED,MESA,,FC NONSORT,,60,1.67,60,2026-01-19T07:00:00.000Z,
85ef1150-f0a5-11f0-95e2-42010a40000b,ITEM PROCESSING FINISHED,MESA,,DTL,,150,4.17,24,2026-01-19T07:00:00.000Z,
85ef2ef4-f0a5-11f0-95e2-42010a40000b,MULTI-ITEM PROCESS FINISHED,MESA,,DTL,,37.5,1.04,96,2026-01-19T07:00:00.000Z,
